Date,Total Time,Intermediate Times,Average Speed (km/h),Top Speed (Km/h),Setting Max Speed,Setting Start Impulse,Setting Forward Throttle,Setting Push Length Max,Setting Push Force,Setting Add Steer Force,Setting Track Material,Setting Sensitivity
﻿7/8/2025 - 14:24:26,00:57.50,00:07.36 | 00:27.20 | 00:36.92 | 00:46.54,93.2,129.4,135.0,50.0,0.22,2.0,36.0,38.0,PSYM_Ice_NoFriction,1.0
﻿7/8/2025 - 14:25:44,00:57.48,00:07.39 | 00:27.22 | 00:36.91 | 00:46.55,93.3,128.9,135.0,50.0,0.22,2.0,36.0,38.0,PSYM_Ice_NoFriction,1.0
